Month,Metric,Value,Count
january,Category,Entertainment,20
january,Category,Technology,18
january,Category,Web Development,14
january,Category,News,13
january,Category,Music,11
january,Mood,Informative,22
january,Mood,Excited,9
january,Mood,Educational,9
january,Mood,Romantic,6
january,Mood,Religious,6
january,Label,Technology,15
january,Label,music,10
january,Label,bollywood,10
january,Label,Entertainment,7
january,Label,Web Development,7
february,Category,music,14
february,Category,Technology,11
february,Category,Music,10
february,Category,Entertainment,8
february,Category,Web Development,7
february,Mood,Informative,21
february,Mood,Happy,5
february,Mood,Romantic,4
february,Mood,Energetic,4
february,Mood,Excited,4
february,Label,Music,21
february,Label,Entertainment,12
february,Label,Technology,11
february,Label,Web Development,7
february,Label,Business,5
march,Category,Technology,134
march,Category,News,102
march,Category,Politics,82
march,Category,Entertainment,82
march,Category,Music,45
march,Mood,Informative,213
march,Mood,Curious,39
march,Mood,Serious,33
march,Mood,Excited,32
march,Mood,Humorous,30
march,Label,Politics,57
march,Label,India,41
march,Label,Music,35
march,Label,Arvind Kejriwal,35
march,Label,Technology,34
april,Category,Entertainment,32
april,Category,Technology,31
april,Category,News,28
april,Category,Music,24
april,Category,Politics,14
april,Mood,Informative,50
april,Mood,Romantic,17
april,Mood,Concerned,8
april,Mood,Funny,7
april,Mood,Party,7
april,Label,Music,25
april,Label,India,15
april,Label,Technology,13
april,Label,Finance,11
april,Label,Bollywood,10
may,Category,Politics,181
may,Category,Technology,150
may,Category,News,144
may,Category,Finance,78
may,Category,Entertainment,76
may,Mood,Informative,275
may,Mood,Excited,53
may,Mood,Humorous,32
may,Mood,Curious,30
may,Mood,Neutral,26
may,Label,Politics,67
may,Label,India,51
may,Label,Technology,46
may,Label,Samsung,42
may,Label,Finance,32
june,Category,News,124
june,Category,Politics,108
june,Category,Entertainment,92
june,Category,Comedy,50
june,Category,Finance,50
june,Mood,Informative,143
june,Mood,Humorous,48
june,Mood,Romantic,31
june,Mood,Curious,26
june,Mood,Positive,25
june,Label,Politics,57
june,Label,Bollywood,51
june,Label,India,41
june,Label,Music,35
june,Label,Finance,33
